filename,display_name,source_type,evidence_purpose,proposal_scope,notes
2026年度国家自然科学基金项目申请规定.pdf,2026年度国家自然科学基金项目申请规定,guideline,constraint,shared,官方申报指南
2026年度国家自然科学基金外国学者研究基金项目指南.pdf,2026年度国家自然科学基金外国学者研究基金项目指南,guideline,constraint,shared,官方申报指南
2026年度可解释可通用的下一代人工智能方法重大研究计划指南.pdf,2026年度可解释可通用的下一代人工智能方法重大研究计划指南,guideline,constraint,shared,官方申报指南
2026年度面向人机物融合的智能化软件基础研究重大研究计划指南.pdf,2026年度面向人机物融合的智能化软件基础研究重大研究计划指南,guideline,constraint,shared,官方申报指南
关于2026年度国家自然科学基金项目申请与结题等有关事项的通告.pdf,关于2026年度国家自然科学基金项目申请与结题等有关事项的通告,call_snapshot,constraint,proposal,本次申报专用
2026年度国家自然科学基金项目申请手册.pdf,2026年度国家自然科学基金项目申请手册,call_snapshot,constraint,proposal,本次申报专用
国家自然科学基金2026年申请注意事项.pdf,国家自然科学基金2026年申请注意事项,call_snapshot,constraint,proposal,本次申报专用
国家自然科学基金申请书撰写范例2024版.pdf,国家自然科学基金申请书撰写范例2024版,successful_case,style,shared,仅用于结构和写作参考
国自然征文撰写指导.pdf,国自然征文撰写指导,successful_case,style,shared,仅用于结构和写作参考
2026年度国家自然科学基金形式审查表.pdf,2026年度国家自然科学基金形式审查表,review_criteria,constraint,shared,评审与形式审查依据
北京大学2026年度国家自然科学基金项目形式审查明细表.pdf,北京大学2026年度国家自然科学基金项目形式审查明细表,review_criteria,constraint,shared,评审与形式审查依据
国家自然科学基金项目评审回避与保密管理办法.pdf,国家自然科学基金项目评审回避与保密管理办法,review_criteria,constraint,shared,评审与形式审查依据
2026年国家自然科学基金申请书官方模板.pdf,项目申请书模板,template,template,shared,定义章节和格式
团队科研简历_合成测试资料.pdf,团队科研简历 合成测试资料,team_profile,fact,proposal,合成测试资料 禁止用于申请或事实陈述
